id;col;lig;X_utm;Y_utm
GCP #1;1386,511;-1170,725;439003;8757373
GCP #2;1548,567;-1088,397;439038;8757250
GCP #3;1584,098;-1188,057;438858;8757373
GCP #4;1714,09;-1100,529;438902;8757249
GCP #5;1789,485;-1214,922;438716;8757376
GCP #6;1960,64;-1024,701;438871;8757119
GCP #7;2271,975;-1123,801;438553;8757261
GCP #8;2123,563;-1227,488;438524;8757379
GCP #9;1973,618;-1379,362;438458;8757515
GCP #10;2568,8;-1003,288;438528;8757100
GCP #11;2546,184;-1226,936;438331;8757382
GCP #12;2682,269;-1110,462;438364;8757251
GCP #13;2615,415;-1434,034;438200;8757532
GCP #14;2981,477;-1229,61;438175;8757382
GCP #15;3411,718;-1215,348;438041;8757403
GCP #16;3516,901;-943,773;438118;8757116
GCP #17;3055,758;-987,748;438300;8757098
GCP #18;2846,58;-899,798;438503;8756907
GCP #19;2917,891;-827,299;438541;8756767
GCP #20;2888,178;-747,668;438659;8756585
GCP #21;2625,517;-826,11;438741;8756733
GCP #22;2542,321;-915,248;438670;8756915
GCP #23;2276,095;-1010,329;438680;8757101
GCP #24;2278,472;-906,929;438843;8756906
GCP #25;2288,498;-678,618;439351;8756276
GCP #28;1227,074;-1350,745;438910;8757527,5
GCP #29;1658,311;-1373,329;438622;8757515
GCP #38;1987,584;-920,123;439063;8756902
GCP #39;1931,312;-1118,875;438744;8757256
GCP #40;2178,757;-828,231;439109;8756683
GCP #41;1648,247;-1026,793;439058;8757142
GCP #42;1483,032;-1013,152;439238;8757143
GCP #43;1771,78;-923,723;439245;8756918
GCP #27;1578,203;-1786,492;438337,914;8757776,915
GCP #45;109,771;-1794,446;438996,324;8757942,948
GCP #46;1881,4;-740,796;439595,552;8756463,86
GCP #47;1832,822;-748,568;439615,41;8756502,253
GCP #48;1751,212;-762,17;439649,83;8756553,883
GCP #49;1634,625;-812,691;439663,069;8756662,44
GCP #50;1737,61;-676,673;439726,614;8756491,662
GCP #51;1871,685;-678,616;439647,182;8756422,821
GCP #52;2056,28;-696,104;439494,938;8756365,894
GCP #53;2103,833;-695;439469,784;8756355,303
GCP #54;2130,118;-661,128;439563,779;8756201,735
GCP #55;2007,702;-738,853;439492,29;8756400,315
GCP #56;3626,245;-748,852;438145,919;8756908,679
GCP #57;3185,226;-659,185;438486,153;8756553,883
GCP #59;3165,794;-628,095;438517,925;8756499,605
GCP #58;3194,561;-699,721;438378,919;8756749,815
GCP #60;2576,728;-644,567;439175,224;8756138,852
GCP #61;2798,565;-371,587;439426,759;8755349,828
GCP #62;2692,611;-422,694;439551,202;8755355,123
GCP #63;2225,165;-564,798;439813,327;8755781,408
GCP #64;2854,659;-458,843;439196,406;8755649,021
GCP #65;2923,218;-417,708;439129,551;8755641,74
GCP #66;3133,88;-410,229;438901,846;8755731,763
GCP #67;3194,959;-406,489;438838,301;8755751,621
GCP #68;748,66;-1568,871;438954,801;8757744,038
GCP #69;860,761;-2226,215;438320,669;8757971,743
GCP #70;1222,338;-1715,961;438520,573;8757763,896
GCP #71;2157,23;-1930,363;438114,146;8757977,038
GCP #72;624,008;-2035,071;438515,278;8757943,942
GCP #73;421,448;-1906,056;438705,914;8757938,646
GCP #74;814,102;-1675,449;438752,249;8757787,726
GCP #75;280,591;-1580,713;439040,852;8757861,862
GCP #76;974,904;-1159,389;439060,71;8757525,6
GCP #77;887,647;-986,122;439157,352;8757515,009
GCP #78;1228,922;-1151,923;439014,126;8757431,204
GCP #26;1457,182;-1140,491;439022,318;8757305,839
GCP #30;1327;-1101;439125,579;8757307,163
GCP #31;1305;-1062;439230,165;8757254,208
GCP #32;1228;-1216;438987,998;8757460,545
GCP #33;1172;-1277;438965,888;8757503,591
GCP #34;790,881;-1107,434;439141,91;8757558,987
GCP #35;770;-1164;439111,017;8757607,68
GCP #36;451,375;-1627,125;439003,784;8757812,879
GCP #37;403,788;-1592,231;439021,16;8757821,981
GCP #44;793,811;-1336,025;439037,046;8757641,604
GCP #79;560,725;-1453,394;439040,025;8757746,52
GCP #80;163,773;-1280,086;439220,898;8757828,766
GCP #81;287,965;-1755,91;438966,716;8757890,987
GCP #82;1693,981;-777,356;439647,182;8756584,332
GCP #83;1618,525;-817,154;439664,393;8756679,65
GCP #84;1992,828;-706,677;439548,885;8756392,041
GCP #85;1940,39;-689,219;439592,076;8756401,142
GCP #86;2100,162;-662,966;439574,07;8756226,572
GCP #87;2131,793;-612,706;439683,92;8756063,06
GCP #88;2179,156;-623,407;439636,922;8756049,16
GCP #89;2126,669;-621,032;439662,076;8756090,861
GCP #90;2166,171;-555,701;439834,168;8755846,437
GCP #91;2496,966;-429,684;439766,33;8755383,586
GCP #92;2595,979;-413,932;439678,955;8755342,547
GCP #93;2651,487;-420,682;439607,343;8755342,845
GCP #94;2809,759;-412,431;439276,5;8755584,814
GCP #95;2749,75;-464,188;439337,859;8755587,358
GCP #96;3040,04;-391,428;439013,051;8755668,217
GCP #97;2974,781;-521,196;438993,193;8755829,729
GCP #98;2920,024;-514,445;439060,71;8755790,013
GCP #99;2988,283;-442,435;439043,5;8755705,286
GCP #100;3072,294;-453,687;438943,517;8755759,038
GCP #101;3173,326;-428,578;438834,267;8755795,455
GCP #102;3094,047;-506,194;438867,426;8755856,206
GCP #104;3332,58;-567,703;438369,731;8756608,776
GCP #103;3324,704;-838,865;438262,419;8756919,27
GCP #105;3189,685;-799,859;438373,624;8756804,094
GCP #106;1071,501;-1227,211;439010,276;8757518,239
GCP #107;989,369;-1266,566;439024,616;8757554,219
GCP #108;967,124;-1355,543;438990,286;8757592,364
GCP #109;915,791;-953,436;439253,482;8757448,369
GCP #110;1222,719;-1049,043;439215,338;8757304,374
GCP #111;920,925;-1435,964;438962,631;8757627,647
GCP #112;871,303;-1333,299;439016,987;8757616,204
GCP #113;953,436;-1068,079;439081,832;8757505,585
GCP #114;631,75;-903,814;439260,157;8757580,92
GCP #115;717,304;-917,503;439126,652;8757517,982
GCP #116;890,125;-1121,123;439120,93;8757541,822
GCP #117;826,814;-1184,433;439104,719;8757579,967
GCP #118;554,75;-866,17;439306,884;8757600,946
GCP #119;457,218;-782,326;439374,59;8757619,065
GCP #120;447,165;-842,428;439341,214;8757637,183
GCP #121;493,151;-932,902;439304,977;8757640,998
GCP #122;596,886;-1029,365;439192,451;8757629,554
GCP #123;571,861;-972,258;439242,039;8757626,693
GCP #124;351,13;-999,635;439256,343;8757723,961
GCP #125;646,508;-1280,041;439091,368;8757681,049
GCP #126;618,061;-1148,5;439152,399;8757662,931
GCP #127;385,352;-1242,611;439119,023;8757775,456
GCP #128;246,753;-1095,456;439270,647;8757771,642
GCP #129;203,334;-1179,942;439247,76;8757803,111
GCP #130;287,82;-929,48;439349,796;8757717,286
GCP #131;116,71;-650,572;439544,332;8757722,054
GCP #132;111,363;-761,579;439489,977;8757741,126
GCP #133;275,842;-849,059;439406,059;8757701,075
GCP #134;191,998;-898,68;439373,637;8757758,291
GCP #135;87,621;-989,369;439391,755;8757800,25
GCP #136;73,933;-867,881;439463,276;8757786,9
GCP #137;20,889;-1175,878;439326,91;8757854,606
GCP #138;89,332;-1040,701;439360,049;8757810,876
GCP #139;84,199;-1134,812;439299,255;8757833,626
GCP #140;202,265;-1543,763;439084,015;8757872,297
GCP #141;149,221;-1415,431;439164,587;8757862,677
GCP #142;176,598;-1601,941;439057,039;8757893,704
GCP #143;246,753;-1661,829;439018,894;8757881,307
GCP #144;10,622;-1639,585;439078,972;8757929,941
GCP #145;43,133;-1458,209;439160,982;8757910,869
GCP #146;92,755;-1295,655;439225,682;8757860,347
GCP #147;26,022;-898,68;439456,6;8757808,833
GCP #148;626,616;-1413,72;439041,799;8757715,521
GCP #149;749,815;-1528,363;438958,817;8757708,704
GCP #150;715,593;-1489,008;438985,34;8757708,516
GCP #151;561,595;-1557,452;439001,729;8757765,92
GCP #152;510,262;-1548,897;439017,941;8757777,363
GCP #153;462,351;-1487,297;439042,734;8757788,807
GCP #154;294,022;-1463,984;439099,951;8757830,766
GCP #155;335,73;-1401,742;439119,977;8757805,018
GCP #156;395,619;-1148,5;439153,353;8757757,338
GCP #157;1649,553;-789,463;439674,633;8756635,702
GCP #158;1812,861;-604,381;439721,76;8756392,491
GCP #159;1805,817;-588,37;439745,903;8756380,42
GCP #160;1794,93;-562,113;439772,059;8756365,33
GCP #161;1732,198;-522,026;439833,423;8756371,366
GCP #162;1591,46;-539,564;439900,823;8756472,969
GCP #163;1621,375;-484,621;439934,021;8756431,724
GCP #164;1702,708;-575,562;439808,752;8756435,559
GCP #165;1695,664;-651,772;439757,975;8756500,131
GCP #166;1706,551;-685,074;439709,688;8756525,28
GCP #167;1696,261;-535,247;439876,68;8756369,354
GCP #168;1846,804;-601,179;439715,724;8756366,336
GCP #169;2065,006;-647,791;439596,013;8756236,566
GCP #170;2079,918;-645,368;439610,097;8756204,374
GCP #171;2026,763;-631,279;439615,127;8756256,685
GCP #172;2099,131;-678,03;439540,685;8756273,787
GCP #173;2017,797;-598,617;439671,461;8756215,44
GCP #174;2122,186;-512,16;439890,764;8755821,098
GCP #175;2078,638;-513,441;439890,505;8755876,483
GCP #176;2198,397;-553,147;439830,405;8755800,979
GCP #177;2172,78;-512,8;439889,758;8755761,746
GCP #178;2201,599;-521,126;439878,44;8755746,908
GCP #179;2250,827;-542,787;439819,088;8755732,321
GCP #180;2113,861;-495,509;439916,667;8755801,23
GCP #181;2053,021;-571,079;439765,268;8756070,831
GCP #182;2122,186;-583,887;439751,185;8755992,868
GCP #183;2109,378;-631,919;439640,528;8756134,208
GCP #184;2089,525;-638,323;439634,995;8756166,902
GCP #185;2615,204;-463,082;439612,612;8755407,14
GCP #186;2457,549;-461,831;439767,029;8755454,924
GCP #187;2543,884;-464,333;439679,158;8755433,481
GCP #188;2767,854;-509,378;439280,137;8755673,22
GCP #189;2841,677;-505,624;439178,504;8755719,32
GCP #190;3139,471;-594,462;438575,956;8756432,73
GCP #192;3208,289;-615,733;438456,245;8756544,394
GCP #194;3309,639;-720,836;438245,996;8756861,275
GCP #193;3337,166;-662,028;438330,498;8756729,493
GCP #195;3253,333;-683,299;438395,886;8756673,158
GCP #196;3379,708;-575,693;438313,396;8756664,104
GCP #198;3676,25;-533,151;438145,399;8756795,887
GCP #199;3832,654;-352,974;438097,112;8756747,6
GCP #200;3576,151;-576,944;438202,739;8756792,869
GCP #201;3621,196;-430,55;438168,536;8756728,487
GCP #202;3552,378;-495,614;438214,811;8756755,648
GCP #203;3721,294;-241,614;438176,584;8756619,842
GCP #204;3554,88;-354,225;438254,044;8756625,877
GCP #205;3462,289;-418,038;438303,337;8756573,567
GCP #206;3369,698;-459,328;438347,6;8756568,537
GCP #207;3259,589;-595,713;438436,125;8756561,495
GCP #208;3701,275;-599,467;438135,339;8756855,24
GCP #209;3534,861;-747,112;438181,614;8756895,478
GCP #210;3723,797;-704,57;438109,184;8756898,496
GCP #211;3813,886;-626,994;438086,046;8756871,335
GCP #212;3813,886;-665,782;438079,471;8756887,58
