id	col	lig	X_utm	Y_utm
GCP #1	2267	-825	438029	8758453
GCP #2	2358	-866	438059	8758498
GCP #3	2736	-946	438098	8758663
GCP #4	2696	-916	438071	8758643
GCP #5	2951	-970	438072	8758750
GCP #6	2699	-837	438014	8758643
GCP #7	2742	-915	438064	8758665
GCP #8	2790	-915	438055	8758686
GCP #9	2926	-875	437980	8758742
GCP #10	2908	-841	437969	8758730
GCP #11	2864	-834	437975.195	8758713.14
GCP #12	2877	-735	437900.125	8758717.875
GCP #13	2932	-762	437908.625	8758743.125
GCP #14	2775	-733	437926.142	8758674.003
GCP #15	2664	-741	437951.46	8758624.211
GCP #16	2608	-787	437989.436	8758601.425
GCP #17	2626	-862	438037.54	8758612.396
GCP #18	2619	-913	438080.581	8758613.24
GCP #19	2568	-890	438072.986	8758592.142
GCP #20	2595	-732	437950.616	8758591.298
GCP #21	2428	-782	437995.344	8758522.095
GCP #22	2445	-817	438022.35	8758534.754
GCP #23	2484	-850	438051.043	8758554.165
GCP #24	2467	-908	438089.02	8758550.789
GCP #25	2407	-893	438079.737	8758523.783
GCP #26	2313	-814	438013.066	8758472.303
GCP #27	2211	-845	438054.419	8758434.327
GCP #28	2217	-808	438024.038	8758428.419
GCP #29	2166	-826	438038.384	8758409.853
GCP #30	2053	-831	438043.448	8758355.841
GCP #31	2054	-854	438072.986	8758363.436
GCP #32	2094	-756	437987.749	8758361.749
GCP #33	2030	-815	438025.725	8758338.962
GCP #34	2038	-752	437980.997	8758332.211
GCP #35	1987	-743	437977.621	8758304.361
GCP #36	1979	-788	438006.315	8758312.801
GCP #38	1929	-833	438046.824	8758292.546
GCP #37	1855	-820	438037.875	8758254.125
GCP #39	1920.375	-779.875	438002.095	8758283.263
GCP #40	2203	-668	437919.375	8758402.125
GCP #41	2265	-667	437922.625	8758433.625
GCP #42	1884.625	-737.625	437972.558	8758251.194
GCP #43	3009.125	-981.375	438069.61	8758771.899
GCP #44	3004.625	-1337.375	438998.777	8758769.367
GCP #45	3095.823	-1287.332	438953.205	8758782.87
GCP #46	3192.5	-1272.5	438924.375	8758799.125
GCP #47	3146.5	-1168.5	438747.625	8758791.875
GCP #48	2860.5	-1068.5	438518.875	8758725.875
GCP #49	3026.5	-1108.5	438528.625	8758773.875
GCP #50	3102.5	-1092.5	438469.625	8758801.875
GCP #51	3148.5	-1128.5	438527.625	8758807.375
GCP #52	3636.5	-1296.5	438773.87	8758881.188
GCP #53	3722.5	-1278.5	438642.217	8758933.512
GCP #54	3620.5	-1230.5	438583.142	8758913.257
GCP #55	3708.5	-1246.5	438588.135	8758942.262
GCP #56	3738.5	-1262.5	438614.127	8758950.737
GCP #57	3294.5	-1168.5	438558.188	8758846.204
GCP #58	2886.5	-1382.5	439039.041	8758758.057
GCP #59	2778.5	-1420.5	439073.509	8758743.931
GCP #60	2966.5	-1442.5	439072.944	8758768.228
GCP #61	3064.5	-1456.5	439078.594	8758778.963
GCP #62	2824.5	-1476.5	439097.24	8758753.536
GCP #63	2660.5	-1468.5	439105.716	8758732.63
GCP #64	2534.5	-1452.5	439112.497	8758724.719
GCP #65	2580.5	-1480.5	439118.712	8758730.37
GCP #66	2682.5	-1496.5	439129.448	8758739.41
GCP #67	3399.449	-1426.616	439025.572	8758822.746
GCP #68	3242.5	-1368.5	439002.313	8758804.391
GCP #69	3532.5	-1440.5	439030.565	8758837.728
GCP #70	3138.5	-1432.5	439055.427	8758791.96
GCP #71	2507.732	-1492.205	439147.529	8758731.5
GCP #72	2278.5	-1456.5	439143.301	8758701.22
GCP #73	2350.5	-1448.5	439128.883	8758703.812
GCP #74	2100.5	-1410.5	439136.549	8758681.809
GCP #75	2239.479	-1329.338	439093.087	8758685.185
GCP #76	2080.5	-1260.5	439077.464	8758661.434
GCP #77	1954.5	-1204.5	439066.292	8758644.465
GCP #78	1924.5	-1442.5	439156.382	8758671.682
GCP #79	2107.564	-1497.364	439170.306	8758686.873
GCP #80	1344.5	-1194.5	439090	8758599
GCP #81	882.5	-1304.5	439192.038	8758560.072
GCP #82	1038.5	-1332.5	439176.003	8758583.702
GCP #83	1545.266	-1400.823	439165.876	8758629.275
GCP #84	919.59	-1129.623	439099.205	8758502.685
GCP #85	963.808	-1092.775	439076.419	8758496.777
GCP #86	860.634	-1230.586	439139.714	8758522.095
GCP #87	674.5	-996.5	439033	8758447
GCP #89	1682.5	-982.5	438907	8758562.182
GCP #88	2764.903	-1331.18	439028.126	8758741.919
GCP #90	2906	-1302	438986.637	8758754.98
GCP #92	2735	-1216	438954.56	8758728.281
GCP #91	2886	-1177	438896.167	8758749.794
GCP #93	2971	-1209	438902.698	8758765.544
GCP #94	2998	-1151	438829.708	8758768.618
